substrate,product,mapped_reaction,hydrogenated_atoms
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[s:12]1,[CH3:1][CH:2]1[CH2:3][CH2:4][CH:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[S:12]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[s:12]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH:5]([c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[S:12]1,"[2, 3, 4, 5]"
[F:1][c:2]1[cH:3][cH:4][c:7](-[c:8]2[cH:9][cH:10][c:11]([CH3:12])[s:13]2)[cH:6][cH:5]1,[F:1][c:2]1[cH:3][cH:4][c:7]([CH:8]2[CH2:9][CH2:10][CH:11]([CH3:12])[S:13]2)[cH:6][cH:5]1,[F:1][c:2]1[cH:3][cH:4][c:7](-[c:8]2[cH:9][cH:10][c:11]([CH3:12])[s:13]2)[cH:6][cH:5]1>>[F:1][c:2]1[cH:3][cH:4][c:7]([CH:8]2[CH2:9][CH2:10][CH:11]([CH3:12])[S:13]2)[cH:6][cH:5]1,"[8, 9, 10, 11]"
[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:19][c:14]([C:15]([F:16])([F:17])[F:18])[cH:13][c:8]([C:9]([F:10])([F:11])[F:12])[cH:7]2)[s:20]1,[CH3:1][CH:2]1[CH2:3][CH2:4][CH:5]([c:6]2[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]2)[S:20]1,[CH3:1][c:2]1[cH:3][cH:4][c:5](-[c:6]2[cH:19][c:14]([C:15]([F:16])([F:17])[F:18])[cH:13][c:8]([C:9]([F:10])([F:11])[F:12])[cH:7]2)[s:20]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][CH:5]([c:6]2[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]2)[S:20]1,"[2, 3, 4, 5]"
[F:1][C:2]([c:3]1[cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([CH2:10][CH3:11])[s:12]2)[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1)([F:20])[F:21],[F:1][C:2]([c:3]1[cH:4][c:5]([CH:6]2[CH2:7][CH2:8][CH:9]([CH2:10][CH3:11])[S:12]2)[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1)([F:20])[F:21],[F:1][C:2]([c:3]1[cH:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([CH2:10][CH3:11])[s:12]2)[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1)([F:20])[F:21]>>[F:1][C:2]([c:3]1[cH:4][c:5]([CH:6]2[CH2:7][CH2:8][CH:9]([CH2:10][CH3:11])[S:12]2)[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19]1)([F:20])[F:21],"[6, 7, 8, 9]"
[F:1][c:2]1[cH:3][cH:4][c:7](-[c:8]2[cH:9][s:10][cH:11][c:12]2[CH3:13])[cH:6][cH:5]1,[F:1][c:2]1[cH:3][cH:4][c:7]([CH:8]2[CH2:9][S:10][CH2:11][CH:12]2[CH3:13])[cH:6][cH:5]1,[F:1][c:2]1[cH:3][cH:4][c:7](-[c:8]2[cH:9][s:10][cH:11][c:12]2[CH3:13])[cH:6][cH:5]1>>[F:1][c:2]1[cH:3][cH:4][c:7]([CH:8]2[CH2:9][S:10][CH2:11][CH:12]2[CH3:13])[cH:6][cH:5]1,"[8, 9, 11, 12]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][c:16]([CH3:17])[c:18]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][c:16]([CH3:17])[c:18]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][c:16]([CH3:17])[c:18]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][c:16]([CH3:17])[c:18]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH3:16])[cH:17][c:18]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH3:16])[cH:17][c:18]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH3:16])[cH:17][c:18]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH3:16])[cH:17][c:18]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][c:14]([CH3:15])[cH:16][cH:17][c:18]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][c:14]([CH3:15])[cH:16][cH:17][c:18]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][c:14]([CH3:15])[cH:16][cH:17][c:18]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][c:14]([CH3:15])[cH:16][cH:17][c:18]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[c:13]([CH3:14])[cH:15][cH:16][cH:17][c:18]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[c:13]([CH3:14])[cH:15][cH:16][cH:17][c:18]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[c:13]([CH3:14])[cH:15][cH:16][cH:17][c:18]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[c:13]([CH3:14])[cH:15][cH:16][cH:17][c:18]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][c:19]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][c:19]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][c:19]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([O:16][CH3:17])[cH:18][c:19]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([Si:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][c:21]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([Si:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][c:21]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([Si:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][c:21]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([Si:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][c:21]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:16]3[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]3)[cH:22][c:23]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:16]3[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]3)[cH:22][c:23]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:16]3[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]3)[cH:22][c:23]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][c:15]([CH:16]3[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]3)[cH:22][c:23]21,"[2, 3]"
[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][n:6]([C:7]([O:8][C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12,[CH3:1][CH:2]([CH3:3])[C@@H:4]1[CH2:5][N:6]([C:7]([O:8][C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]21,[CH3:1][CH:2]([CH3:3])[c:4]1[cH:5][n:6]([C:7]([O:8][C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12>>[CH3:1][CH:2]([CH3:3])[C@@H:4]1[CH2:5][N:6]([C:7]([O:8][C:9]([CH3:10])([CH3:11])[CH3:12])=[O:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]21,"[4, 5]"
[CH3:1][C:2]([O:3][C:4]([n:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[c:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1)=[O:19])([CH3:20])[CH3:21],[CH3:1][C:2]([O:3][C:4]([N:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[C@H:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17]2)[CH2:18]1)=[O:19])([CH3:20])[CH3:21],[CH3:1][C:2]([O:3][C:4]([n:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[c:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18]1)=[O:19])([CH3:20])[CH3:21]>>[CH3:1][C:2]([O:3][C:4]([N:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[C@H:12]([CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17]2)[CH2:18]1)=[O:19])([CH3:20])[CH3:21],"[12,18]"
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][c:7]1[cH:8][n:9]([C:10]([O:11][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][C@@H:7]1[CH2:8][N:9]([C:10]([O:11][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]21,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][c:7]1[cH:8][n:9]([C:10]([O:11][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][C@@H:7]1[CH2:8][N:9]([C:10]([O:11][C:12]([CH3:13])([CH3:14])[CH3:15])=[O:16])[c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]21,"[7, 8]"
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][c:11]1[cH:12][n:13]([C:14]([O:15][C:16]([CH3:17])([CH3:18])[CH3:19])=[O:20])[c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][C@@H:11]1[CH2:12][N:13]([C:14]([O:15][C:16]([CH3:17])([CH3:18])[CH3:19])=[O:20])[c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]21,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][c:11]1[cH:12][n:13]([C:14]([O:15][C:16]([CH3:17])([CH3:18])[CH3:19])=[O:20])[c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][C@@H:11]1[CH2:12][N:13]([C:14]([O:15][C:16]([CH3:17])([CH3:18])[CH3:19])=[O:20])[c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]21,"[11, 12]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][CH3:7])=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][CH3:7])=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][CH3:7])=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][CH3:7])=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]21,"[2, 3]"
[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,"[2, 17]"
[CH3:1][c:2]1[cH:18][c:17]2[c:15]([CH3:16])[cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][c:15]([CH3:16])[c:17]2[CH2:18]1,[CH3:1][c:2]1[cH:18][c:17]2[c:15]([CH3:16])[cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][c:15]([CH3:16])[c:17]2[CH2:18]1,"[2, 18]"
[CH3:1][c:2]1[cH:18][c:17]2[cH:16][c:14]([CH3:15])[cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][c:14]([CH3:15])[cH:16][c:17]2[CH2:18]1,[CH3:1][c:2]1[cH:18][c:17]2[cH:16][c:14]([CH3:15])[cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][c:14]([CH3:15])[cH:16][c:17]2[CH2:18]1,"[2, 18]"
[CH3:1][c:2]1[cH:18][c:17]2[cH:16][cH:15][c:13]([CH3:14])[cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][c:13]([CH3:14])[cH:15][cH:16][c:17]2[CH2:18]1,[CH3:1][c:2]1[cH:18][c:17]2[cH:16][cH:15][c:13]([CH3:14])[cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][c:13]([CH3:14])[cH:15][cH:16][c:17]2[CH2:18]1,"[2, 18]"
[CH3:1][c:2]1[cH:18][c:17]2[cH:16][cH:15][cH:14][c:12]([CH3:13])[c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[c:12]([CH3:13])[cH:14][cH:15][cH:16][c:17]2[CH2:18]1,[CH3:1][c:2]1[cH:18][c:17]2[cH:16][cH:15][cH:14][c:12]([CH3:13])[c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[c:12]([CH3:13])[cH:14][cH:15][cH:16][c:17]2[CH2:18]1,"[2, 18]"
[CH3:1][c:2]1[cH:19][c:18]2[cH:17][c:14]([O:15][CH3:16])[cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][c:18]2[CH2:19]1,[CH3:1][c:2]1[cH:19][c:18]2[cH:17][c:14]([O:15][CH3:16])[cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][c:18]2[CH2:19]1,"[2, 19]"
[CH3:1][c:2]1[cH:21][c:20]2[cH:19][c:14]([C:15]([CH3:16])([CH3:17])[CH3:18])[cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][c:14]([C:15]([CH3:16])([CH3:17])[CH3:18])[cH:19][c:20]2[CH2:21]1,[CH3:1][c:2]1[cH:21][c:20]2[cH:19][c:14]([C:15]([CH3:16])([CH3:17])[CH3:18])[cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][c:14]([C:15]([CH3:16])([CH3:17])[CH3:18])[cH:19][c:20]2[CH2:21]1,"[2, 21]"
[CH3:1][c:2]1[cH:21][c:20]2[cH:19][c:14]([CH2:15][CH2:16][CH2:17][CH3:18])[cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][c:14]([CH2:15][CH2:16][CH2:17][CH3:18])[cH:19][c:20]2[CH2:21]1,[CH3:1][c:2]1[cH:21][c:20]2[cH:19][c:14]([CH2:15][CH2:16][CH2:17][CH3:18])[cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][c:14]([CH2:15][CH2:16][CH2:17][CH3:18])[cH:19][c:20]2[CH2:21]1,"[2, 21]"
[CH3:1][c:2]1[cH:19][c:18]2[cH:17][c:15]([CH3:16])[cH:14][c:12]([CH3:13])[c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[c:12]([CH3:13])[cH:14][c:15]([CH3:16])[cH:17][c:18]2[CH2:19]1,[CH3:1][c:2]1[cH:19][c:18]2[cH:17][c:15]([CH3:16])[cH:14][c:12]([CH3:13])[c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[c:12]([CH3:13])[cH:14][c:15]([CH3:16])[cH:17][c:18]2[CH2:19]1,"[2, 19]"
[CH3:1][c:2]1[cH:14][c:13]2[cH:12][cH:11][cH:10][cH:9][c:8]2[n:3]1[C:4]([O:5][CH3:6])=[O:7],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][CH3:6])=[O:7])[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[CH2:14]1,[CH3:1][c:2]1[cH:14][c:13]2[cH:12][cH:11][cH:10][cH:9][c:8]2[n:3]1[C:4]([O:5][CH3:6])=[O:7]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][CH3:6])=[O:7])[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[CH2:14]1,"[2, 14]"
[CH3:1][C:2]([O:3][C:4]([n:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[cH:12][c:13]1[CH2:14][O:15][Si:16]([CH3:17])([CH3:18])[C:19]([CH3:20])([CH3:21])[CH3:22])=[O:23])([CH3:24])[CH3:25],[CH3:1][C:2]([O:3][C:4]([N:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[CH2:12][C@H:13]1[CH2:14][O:15][Si:16]([CH3:17])([CH3:18])[C:19]([CH3:20])([CH3:21])[CH3:22])=[O:23])([CH3:24])[CH3:25],[CH3:1][C:2]([O:3][C:4]([n:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[cH:12][c:13]1[CH2:14][O:15][Si:16]([CH3:17])([CH3:18])[C:19]([CH3:20])([CH3:21])[CH3:22])=[O:23])([CH3:24])[CH3:25]>>[CH3:1][C:2]([O:3][C:4]([N:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[CH2:12][C@H:13]1[CH2:14][O:15][Si:16]([CH3:17])([CH3:18])[C:19]([CH3:20])([CH3:21])[CH3:22])=[O:23])([CH3:24])[CH3:25],"[12, 13]"
[CH3:1][c:2]1[cH:11][c:10]2[cH:9][cH:8][cH:7][c:5]([CH3:6])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([CH3:6])[cH:7][cH:8][cH:9][c:10]2[CH2:11]1,[CH3:1][c:2]1[cH:11][c:10]2[cH:9][cH:8][cH:7][c:5]([CH3:6])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([CH3:6])[cH:7][cH:8][cH:9][c:10]2[CH2:11]1,"[2, 11]"
[CH3:1][c:2]1[cH:12][c:11]2[cH:10][cH:9][cH:8][c:5]([O:6][CH3:7])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([O:6][CH3:7])[cH:8][cH:9][cH:10][c:11]2[CH2:12]1,[CH3:1][c:2]1[cH:12][c:11]2[cH:10][cH:9][cH:8][c:5]([O:6][CH3:7])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([O:6][CH3:7])[cH:8][cH:9][cH:10][c:11]2[CH2:12]1,"[2, 12]"
[CH3:1][c:2]1[cH:14][c:13]2[cH:12][cH:11][cH:10][c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[c:4]2[o:3]1,[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[cH:10][cH:11][cH:12][c:13]2[CH2:14]1,[CH3:1][c:2]1[cH:14][c:13]2[cH:12][cH:11][cH:10][c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[c:4]2[o:3]1>>[CH3:1][C@H:2]1[O:3][c:4]2[c:5]([C:6]([CH3:7])([CH3:8])[CH3:9])[cH:10][cH:11][cH:12][c:13]2[CH2:14]1,"[2, 14]"
